Kabupaten_Kota,RLS,Tahun,AMH,Status,RLS_lower,RLS_upper,AMH_lower,AMH_upper
Kab. Agam,7.56,2010,98.03,Actual,7.56,7.56,98.03,98.03
Kab. Agam,7.68,2011,97.91,Actual,7.68,7.68,97.91,97.91
Kab. Agam,7.91,2012,98.04,Actual,7.91,7.91,98.04,98.04
Kab. Agam,8.09,2013,99.11,Actual,8.09,8.09,99.11,99.11
Kab. Agam,8.1,2014,99.48,Actual,8.1,8.1,99.48,99.48
Kab. Agam,8.17,2015,99.96,Actual,8.17,8.17,99.96,99.96
Kab. Agam,8.18,2016,99.76,Actual,8.18,8.18,99.76,99.76
Kab. Agam,8.39,2017,99.5,Actual,8.39,8.39,99.5,99.5
Kab. Agam,8.69,2018,99.63,Actual,8.69,8.69,99.63,99.63
Kab. Agam,8.85,2019,99.72,Actual,8.85,8.85,99.72,99.72
Kab. Agam,8.96,2020,99.6,Actual,8.96,8.96,99.6,99.6
Kab. Agam,8.97,2021,99.53,Actual,8.97,8.97,99.53,99.53
Kab. Agam,8.98,2022,99.98,Actual,8.98,8.98,99.98,99.98
Kab. Agam,9.22,2023,99.66,Actual,9.22,9.22,99.66,99.66
Kab. Agam,9.23,2024,99.97,Actual,9.23,9.23,99.97,99.97
Kab. Agam,9.57,2025,99.57,Actual,9.57,9.57,99.57,99.57
Kab. Agam,9.909071055919977,2026,99.17109299159435,Forecast,9.81811991792661,10.020850952539472,98.8447924317813,99.49130992504463
Kab. Agam,10.248142099269257,2027,98.77218587226844,Forecast,9.944312132935785,10.60870472064753,97.77726806708776,99.79095183645174
Kab. Agam,10.587213142618538,2028,98.37327875294253,Forecast,9.995586114131106,11.290792920728839,96.44209687698563,100.4336273561881
Kab. Agam,10.927213147730418,2029,97.97327873739928,Forecast,10.01924221779705,11.982835693903269,94.71916632151398,101.14586853452246
Kab. Agam,11.2662841910797,2030,97.57437161807337,Forecast,9.926242495336082,12.725662117655185,92.9188887687887,101.95509808917821
Kab. Agam,11.605355234428979,2031,97.17546449874746,Forecast,9.797028751784595,13.553196239115659,90.91795443995841,102.9695971125051
Kab. Agam,11.944426277778263,2032,96.77655737942155,Forecast,9.666618970678007,14.317269947384974,88.77179450546342,104.19435695308366
Kab. Agam,12.284426282890141,2033,96.37655736387829,Forecast,9.534740833100058,15.150573792491091,86.49643798791122,105.5424446614226
Kab. Agam,12.623497326239423,2034,95.97765024455238,Forecast,9.388092986201794,16.01524060372705,84.15255098482407,107.08300725737664
Kab. Agam,12.962568369588704,2035,95.57874312522647,Forecast,9.135609534362754,16.887587121405726,81.9757832925055,108.72791103619466
Kab. Dharmasraya,7.43,2010,97.88,Actual,7.43,7.43,97.88,97.88
Kab. Dharmasraya,7.83,2011,97.96,Actual,7.83,7.83,97.96,97.96
Kab. Dharmasraya,7.88,2012,96.78,Actual,7.88,7.88,96.78,96.78
Kab. Dharmasraya,7.94,2013,97.15,Actual,7.94,7.94,97.15,97.15
Kab. Dharmasraya,7.99,2014,98.08,Actual,7.99,7.99,98.08,98.08
Kab. Dharmasraya,8.03,2015,99.69,Actual,8.03,8.03,99.69,99.69
Kab. Dharmasraya,8.23,2016,99.85,Actual,8.23,8.23,99.85,99.85
Kab. Dharmasraya,8.24,2017,99.29,Actual,8.24,8.24,99.29,99.29
Kab. Dharmasraya,8.25,2018,99.93,Actual,8.25,8.25,99.93,99.93
Kab. Dharmasraya,8.46,2019,99.49,Actual,8.46,8.46,99.49,99.49
Kab. Dharmasraya,8.47,2020,99.54,Actual,8.47,8.47,99.54,99.54
Kab. Dharmasraya,8.55,2021,99.79,Actual,8.55,8.55,99.79,99.79
Kab. Dharmasraya,8.56,2022,99.19,Actual,8.56,8.56,99.19,99.19
Kab. Dharmasraya,8.71,2023,99.59,Actual,8.71,8.71,99.59,99.59
Kab. Dharmasraya,8.98,2024,99.85,Actual,8.98,8.98,99.85,99.85
Kab. Dharmasraya,9.31,2025,99.28,Actual,9.31,9.31,99.28,99.28
Kab. Dharmasraya,9.63909847341959,2026,98.7115571672301,Forecast,9.55565337041024,9.736474260840764,98.06187713412368,99.38078457586782
Kab. Dharmasraya,9.968196841586803,2027,98.14311454059724,Forecast,9.713337553725271,10.268400673941818,96.1450243198404,100.2954556057864
Kab. Dharmasraya,10.29729520975401,2028,97.57467191396437,Forecast,9.790985568015254,10.832032409347686,93.68159627051045,101.61164644126768
Kab. Dharmasraya,10.627295217286063,2029,97.00467191027224,Forecast,9.813284885596143,11.481787676635449,90.89479071946812,103.22864816455532
Kab. Dharmasraya,10.95639358545327,2030,96.43622928363938,Forecast,9.846472895141876,12.149482413703334,87.35965731236966,105.01153697270078
Kab. Dharmasraya,11.28549195362048,2031,95.86778665700652,Forecast,9.83389111483939,12.846336430246842,83.48781132227629,107.44617156640098
Kab. Dharmasraya,11.61459032178769,2032,95.29934403037365,Forecast,9.765781809100355,13.531658118228153,79.85820449237092,109.47394936520683
Kab. Dharmasraya,11.944590329319743,2033,94.72934402668153,Forecast,9.619767961129874,14.34344462799122,76.16905140807019,112.49305917715088
Kab. Dharmasraya,12.27368869748695,2034,94.16090140004866,Forecast,9.505100294669608,15.187718979516783,72.58961342694478,115.44615401858549
Kab. Dharmasraya,12.60278706565416,2035,93.5924587734158,Forecast,9.316047946193459,16.092361343310987,68.18718004643746,119.04063541605883
Kab. Kepulauan Mentawai,6.14,2010,95.44,Actual,6.14,6.14,95.44,95.44
Kab. Kepulauan Mentawai,6.15,2011,91.73,Actual,6.15,6.15,91.73,91.73
Kab. Kepulauan Mentawai,6.16,2012,91.22,Actual,6.16,6.16,91.22,91.22
Kab. Kepulauan Mentawai,6.17,2013,94.57,Actual,6.17,6.17,94.57,94.57
Kab. Kepulauan Mentawai,6.19,2014,95.72,Actual,6.19,6.19,95.72,95.72
Kab. Kepulauan Mentawai,6.27,2015,99.22,Actual,6.27,6.27,99.22,99.22
Kab. Kepulauan Mentawai,6.52,2016,99.38,Actual,6.52,6.52,99.38,99.38
Kab. Kepulauan Mentawai,6.69,2017,99.59,Actual,6.69,6.69,99.59,99.59
Kab. Kepulauan Mentawai,6.95,2018,99.3,Actual,6.95,6.95,99.3,99.3
Kab. Kepulauan Mentawai,7.08,2019,99.51,Actual,7.08,7.08,99.51,99.51
Kab. Kepulauan Mentawai,7.09,2020,98.1,Actual,7.09,7.09,98.1,98.1
Kab. Kepulauan Mentawai,7.2,2021,98.76,Actual,7.2,7.2,98.76,98.76
Kab. Kepulauan Mentawai,7.48,2022,98.46,Actual,7.48,7.48,98.46,98.46
Kab. Kepulauan Mentawai,7.76,2023,99.66,Actual,7.76,7.76,99.66,99.66
Kab. Kepulauan Mentawai,8.03,2024,99.33,Actual,8.03,8.03,99.33,99.33
Kab. Kepulauan Mentawai,8.21,2025,99.14,Actual,8.21,8.21,99.14,99.14
Kab. Kepulauan Mentawai,8.38950815011755,2026,98.95051855943339,Forecast,8.334687689618939,8.44883824087678,97.5378908788704,100.25239260429821
Kab. Kepulauan Mentawai,8.56901634566193,2027,98.7610375977683,Forecast,8.393671476929628,8.753463571561847,94.31166782999901,103.10372076111004
Kab. Kepulauan Mentawai,8.74852454120631,2028,98.5715566361032,Forecast,8.420818388485237,9.126949057461667,89.68531152132924,107.13787273208719
Kab. Kepulauan Mentawai,8.928524540026153,2029,98.38155654851572,Forecast,8.410940337801064,9.534004205096826,84.78077741687402,111.50298000108626
Kab. Kepulauan Mentawai,9.108032735570532,2030,98.19207558685062,Forecast,8.38242789169494,9.973006057520237,79.90253531682366,117.06620289177404
Kab. Kepulauan Mentawai,9.287540931114911,2031,98.00259462518552,Forecast,8.299703940387866,10.424479234112564,74.24268810360788,122.48102229052581
Kab. Kepulauan Mentawai,9.46704912665929,2032,97.81311366352043,Forecast,8.223498172231396,10.910611734383123,67.62091671772855,128.99486508208025
Kab. Kepulauan Mentawai,9.647049125479136,2033,97.62311357593295,Forecast,8.111987256589039,11.357417455383414,59.69219489870325,136.1828204557202
Kab. Kepulauan Mentawai,9.826557321023515,2034,97.43363261426785,Forecast,7.984286184578041,11.842464338783381,52.41838449441053,142.90955197818784
Kab. Kepulauan Mentawai,10.006065516567892,2035,97.24415165260275,Forecast,7.853252136492928,12.359433266482451,45.33193065188585,151.56881017454717
Kab. Lima Puluh Kota,7.37,2010,97.82,Actual,7.37,7.37,97.82,97.82
Kab. Lima Puluh Kota,7.4,2011,97.84,Actual,7.4,7.4,97.84,97.84
Kab. Lima Puluh Kota,7.52,2012,98.56,Actual,7.52,7.52,98.56,98.56
Kab. Lima Puluh Kota,7.58,2013,99.51,Actual,7.58,7.58,99.51,99.51
Kab. Lima Puluh Kota,7.59,2014,99.75,Actual,7.59,7.59,99.75,99.75
Kab. Lima Puluh Kota,7.91,2015,99.92,Actual,7.91,7.91,99.92,99.92
Kab. Lima Puluh Kota,7.92,2016,99.85,Actual,7.92,7.92,99.85,99.85
Kab. Lima Puluh Kota,7.96,2017,98.96,Actual,7.96,7.96,98.96,98.96
Kab. Lima Puluh Kota,7.97,2018,99.74,Actual,7.97,7.97,99.74,99.74
Kab. Lima Puluh Kota,7.98,2019,99.51,Actual,7.98,7.98,99.51,99.51
Kab. Lima Puluh Kota,7.99,2020,99.77,Actual,7.99,7.99,99.77,99.77
Kab. Lima Puluh Kota,8.07,2021,99.53,Actual,8.07,8.07,99.53,99.53
Kab. Lima Puluh Kota,8.08,2022,99.79,Actual,8.08,8.08,99.79,99.79
Kab. Lima Puluh Kota,8.12,2023,99.76,Actual,8.12,8.12,99.76,99.76
Kab. Lima Puluh Kota,8.13,2024,99.8,Actual,8.13,8.13,99.8,99.8
Kab. Lima Puluh Kota,8.49,2025,99.51,Actual,8.49,8.49,99.51,99.51
Kab. Lima Puluh Kota,8.849016368590448,2026,99.22079269761329,Forecast,8.777737860920348,8.931122237508585,98.83511148741837,99.6795726331078
Kab. Lima Puluh Kota,9.208032763771214,2027,98.93158505472704,Forecast,8.979022718407835,9.453945064434068,97.6548307459554,100.30914614099675
Kab. Lima Puluh Kota,9.567049158951976,2028,98.64237741184078,Forecast,9.104522778509962,10.052129155447211,96.22219639050289,101.17824086934874
Kab. Lima Puluh Kota,9.92704916069488,2029,98.35237741924799,Forecast,9.176036789962895,10.71716904677941,94.44325453889057,102.21402387059686
Kab. Lima Puluh Kota,10.286065555875645,2030,98.06316977636173,Forecast,9.20617251454715,11.40392802771095,92.48222388620405,103.74162120249198
Kab. Lima Puluh Kota,10.645081951056408,2031,97.77396213347548,Forecast,9.230250724367911,12.151057646338684,90.28026326981379,105.34264179351486
Kab. Lima Puluh Kota,11.004098346237175,2032,97.48475449058922,Forecast,9.222218930850202,12.898384688412236,87.7106634643351,106.9904510144622
Kab. Lima Puluh Kota,11.364098347980079,2033,97.19475449799643,Forecast,9.222807668444311,13.698841312926847,84.92284652682449,108.50892291466035
Kab. Lima Puluh Kota,11.723114743160842,2034,96.90554685511016,Forecast,9.19678767131578,14.557939794175287,82.08461195660438,110.30184198901037
Kab. Lima Puluh Kota,12.082131138341607,2035,96.6163392122239,Forecast,9.088101205948862,15.333368087270529,79.10495644911157,112.43595242596315
Kab. Padang Pariaman,6.62,2010,95.78,Actual,6.62,6.62,95.78,95.78
Kab. Padang Pariaman,6.68,2011,96.03,Actual,6.68,6.68,96.03,96.03
Kab. Padang Pariaman,6.77,2012,96.22,Actual,6.77,6.77,96.22,96.22
Kab. Padang Pariaman,6.86,2013,97.39,Actual,6.86,6.86,97.39,97.39
Kab. Padang Pariaman,6.88,2014,98.46,Actual,6.88,6.88,98.46,98.46
Kab. Padang Pariaman,6.89,2015,99.09,Actual,6.89,6.89,99.09,99.09
Kab. Padang Pariaman,7.0,2016,99.65,Actual,7.0,7.0,99.65,99.65
Kab. Padang Pariaman,7.21,2017,98.21,Actual,7.21,7.21,98.21,98.21
Kab. Padang Pariaman,7.5,2018,99.2,Actual,7.5,7.5,99.2,99.2
Kab. Padang Pariaman,7.86,2019,99.5,Actual,7.86,7.86,99.5,99.5
Kab. Padang Pariaman,7.87,2020,99.48,Actual,7.87,7.87,99.48,99.48
Kab. Padang Pariaman,7.88,2021,99.83,Actual,7.88,7.88,99.83,99.83
Kab. Padang Pariaman,8.16,2022,99.98,Actual,8.16,8.16,99.98,99.98
Kab. Padang Pariaman,8.41,2023,99.4,Actual,8.41,8.41,99.4,99.4
Kab. Padang Pariaman,8.42,2024,99.78,Actual,8.42,8.42,99.78,99.78
Kab. Padang Pariaman,8.78,2025,99.55,Actual,8.78,8.78,99.55,99.55
Kab. Padang Pariaman,9.139016284357481,2026,99.32062866514792,Forecast,9.04209191614953,9.229783164021,98.75039734057623,99.86217891491218
Kab. Padang Pariaman,9.49803267290669,2027,99.09125707957804,Forecast,9.18094775117284,9.813253970827567,97.28526423760002,100.83226562892945
Kab. Padang Pariaman,9.857049061455898,2028,98.86188549400815,Forecast,9.25245518379629,10.4562751378774,95.2327871576417,102.2032728286442
Kab. Padang Pariaman,10.217049056549076,2029,98.63188549313533,Forecast,9.286297096625038,11.178070663694607,92.75194155652719,103.90068468496919
Kab. Padang Pariaman,10.576065445098285,2030,98.40251390756545,Forecast,9.221158000959392,11.974594218453209,90.24716374031237,105.89612521068469
Kab. Padang Pariaman,10.93508183364749,2031,98.17314232199556,Forecast,9.158321481698577,12.730915095459373,87.27729538645023,108.12922177865131
Kab. Padang Pariaman,11.2940982221967,2032,97.94377073642568,Forecast,9.039869568167573,13.440640838319732,83.73922409450968,110.83724153899105
Kab. Padang Pariaman,11.65409821728988,2033,97.71377073555286,Forecast,8.981300161849445,14.278910405012342,79.96849192504689,113.16217939424867
Kab. Padang Pariaman,12.013114605839085,2034,97.48439914998298,Forecast,8.854240262575395,15.239440766861833,76.45478812654912,116.24810838825717
Kab. Padang Pariaman,12.372130994388293,2035,97.25502756441308,Forecast,8.64730035850659,16.17189459123996,73.07102236812663,119.43409071689733
Kab. Pasaman,7.26,2010,99.04,Actual,7.26,7.26,99.04,99.04
Kab. Pasaman,7.37,2011,98.21,Actual,7.37,7.37,98.21,98.21
Kab. Pasaman,7.48,2012,97.95,Actual,7.48,7.48,97.95,97.95
Kab. Pasaman,7.6,2013,99.07,Actual,7.6,7.6,99.07,99.07
Kab. Pasaman,7.62,2014,99.42,Actual,7.62,7.62,99.42,99.42
Kab. Pasaman,7.63,2015,99.11,Actual,7.63,7.63,99.11,99.11
Kab. Pasaman,7.64,2016,99.8,Actual,7.64,7.64,99.8,99.8
Kab. Pasaman,7.65,2017,99.22,Actual,7.65,7.65,99.22,99.22
Kab. Pasaman,7.66,2018,99.85,Actual,7.66,7.66,99.85,99.85
Kab. Pasaman,7.86,2019,99.98,Actual,7.86,7.86,99.98,99.98
Kab. Pasaman,8.09,2020,99.83,Actual,8.09,8.09,99.83,99.83
Kab. Pasaman,8.1,2021,99.76,Actual,8.1,8.1,99.76,99.76
Kab. Pasaman,8.11,2022,99.84,Actual,8.11,8.11,99.84,99.84
Kab. Pasaman,8.13,2023,100.0,Actual,8.13,8.13,100.0,100.0
Kab. Pasaman,8.14,2024,100.0,Actual,8.14,8.14,100.0,100.0
Kab. Pasaman,8.41,2025,99.57,Actual,8.41,8.41,99.57,99.57
Kab. Pasaman,8.679262309716968,2026,99.14117458510677,Forecast,8.631045577097376,8.728410095120763,98.65812958790943,99.61095605769628
Kab. Pasaman,8.948524605371126,2027,98.71234942202956,Forecast,8.796952909628008,9.103220848600927,97.13460336356839,100.22022202300299
Kab. Pasaman,9.217786901025287,2028,98.28352425895235,Forecast,8.940617171318406,9.508659390399762,95.35520648211185,101.19526940564785
Kab. Pasaman,9.487786901599046,2029,97.85352423241466,Forecast,9.043158733172802,9.935484115350592,93.24899945639146,102.5367776137262
Kab. Pasaman,9.757049197253203,2030,97.42469906933746,Forecast,9.121615954505964,10.412268083953949,90.8210522567775,104.18174484252941
Kab. Pasaman,10.026311492907363,2031,96.99587390626026,Forecast,9.138518905971546,10.880394377074051,88.1437943055466,106.09103867918093
Kab. Pasaman,10.295573788561521,2032,96.56704874318305,Forecast,9.187394358018253,11.380748100593213,85.31737500678712,108.10115575143382
Kab. Pasaman,10.56557378913528,2033,96.13704871664535,Forecast,9.218295545041673,11.90155069244084,82.5649382619233,110.48267211165542
Kab. Pasaman,10.83483608478944,2034,95.70822355356816,Forecast,9.210120284983892,12.442803015880894,79.2472001934399,112.6285439421055
Kab. Pasaman,11.104098380443599,2035,95.27939839049095,Forecast,9.223039776993058,12.983110512071962,75.69013942198353,114.80064114889281
Kab. Pasaman Barat,7.08,2010,98.8,Actual,7.08,7.08,98.8,98.8
Kab. Pasaman Barat,7.24,2011,95.0,Actual,7.24,7.24,95.0,95.0
Kab. Pasaman Barat,7.39,2012,97.5,Actual,7.39,7.39,97.5,97.5
Kab. Pasaman Barat,7.5,2013,97.56,Actual,7.5,7.5,97.56,97.56
Kab. Pasaman Barat,7.53,2014,97.49,Actual,7.53,7.53,97.49,97.49
Kab. Pasaman Barat,7.83,2015,99.32,Actual,7.83,7.83,99.32,99.32
Kab. Pasaman Barat,7.84,2016,99.8,Actual,7.84,7.84,99.8,99.8
Kab. Pasaman Barat,7.85,2017,98.86,Actual,7.85,7.85,98.86,98.86
Kab. Pasaman Barat,7.86,2018,99.26,Actual,7.86,7.86,99.26,99.26
Kab. Pasaman Barat,8.06,2019,99.59,Actual,8.06,8.06,99.59,99.59
Kab. Pasaman Barat,8.19,2020,99.35,Actual,8.19,8.19,99.35,99.35
Kab. Pasaman Barat,8.27,2021,99.93,Actual,8.27,8.27,99.93,99.93
Kab. Pasaman Barat,8.55,2022,99.36,Actual,8.55,8.55,99.36,99.36
Kab. Pasaman Barat,8.81,2023,99.79,Actual,8.81,8.81,99.79,99.79
Kab. Pasaman Barat,8.99,2024,99.75,Actual,8.99,8.99,99.75,99.75
Kab. Pasaman Barat,9.28,2025,99.63,Actual,9.28,9.28,99.63,99.63
Kab. Pasaman Barat,9.569207540181733,2026,99.51032678212859,Forecast,9.494310083737584,9.644094197008794,98.4296239721884,100.48522525237868
Kab. Pasaman Barat,9.858415180347311,2027,99.39065457767813,Forecast,9.620390404423787,10.09565280613759,95.81631676998975,102.62670933127049
Kab. Pasaman Barat,10.147622820512888,2028,99.27098237322767,Forecast,9.684820890765687,10.639773986247157,92.40723368646083,105.50148448072021
Kab. Pasaman Barat,10.43762281037755,2029,99.15098229972392,Forecast,9.699212489175828,11.254662840661057,87.74861891013096,109.29454813607083
Kab. Pasaman Barat,10.726830450543128,2030,99.03131009527347,Forecast,9.667970771011351,11.91936032271858,83.22750958720285,113.38361209657911
Kab. Pasaman Barat,11.016038090708706,2031,98.91163789082302,Forecast,9.65710936110309,12.613298427650399,78.19996948665394,117.59053787680257
Kab. Pasaman Barat,11.305245730874285,2032,98.79196568637256,Forecast,9.52497062621276,13.318712674426846,72.34859197579264,123.28509741007203
Kab. Pasaman Barat,11.595245720738944,2033,98.67196561286882,Forecast,9.340165967931412,14.08988271694933,66.86134354500116,129.5177334214846
Kab. Pasaman Barat,11.884453360904521,2034,98.55229340841835,Forecast,9.147959955611956,14.748476638729109,60.48530881229892,135.41488200074167
Kab. Pasaman Barat,12.1736610010701,2035,98.4326212039679,Forecast,8.999969555695857,15.49458609479012,53.9145043399597,141.58187945195044
Kab. Pesisir Selatan,7.34,2010,97.67,Actual,7.34,7.34,97.67,97.67
Kab. Pesisir Selatan,7.57,2011,96.99,Actual,7.57,7.57,96.99,96.99
Kab. Pesisir Selatan,7.79,2012,97.82,Actual,7.79,7.79,97.82,97.82
Kab. Pesisir Selatan,8.05,2013,98.6,Actual,8.05,8.05,98.6,98.6
Kab. Pesisir Selatan,8.1,2014,98.95,Actual,8.1,8.1,98.95,98.95
Kab. Pesisir Selatan,8.11,2015,100.0,Actual,8.11,8.11,100.0,100.0
Kab. Pesisir Selatan,8.12,2016,99.92,Actual,8.12,8.12,99.92,99.92
Kab. Pesisir Selatan,8.13,2017,99.22,Actual,8.13,8.13,99.22,99.22
Kab. Pesisir Selatan,8.14,2018,99.61,Actual,8.14,8.14,99.61,99.61
Kab. Pesisir Selatan,8.25,2019,99.39,Actual,8.25,8.25,99.39,99.39
Kab. Pesisir Selatan,8.26,2020,99.16,Actual,8.26,8.26,99.16,99.16
Kab. Pesisir Selatan,8.27,2021,99.24,Actual,8.27,8.27,99.24,99.24
Kab. Pesisir Selatan,8.43,2022,99.46,Actual,8.43,8.43,99.46,99.46
Kab. Pesisir Selatan,8.58,2023,99.65,Actual,8.58,8.58,99.65,99.65
Kab. Pesisir Selatan,8.81,2024,99.7,Actual,8.81,8.81,99.7,99.7
Kab. Pesisir Selatan,9.06,2025,99.14,Actual,9.06,9.06,99.14,99.14
Kab. Pesisir Selatan,9.309317043730237,2026,98.58152985065888,Forecast,9.267474233893468,9.353042089334155,98.16022505526126,98.98523425116154
Kab. Pesisir Selatan,9.558633989561347,2027,98.02305989390582,Forecast,9.42300210804149,9.691514683623542,96.66967446470314,99.38556573628756
Kab. Pesisir Selatan,9.807950935392457,2028,97.46458993715275,Forecast,9.553576762866076,10.056480521491531,94.96599568074741,100.12250728929533
Kab. Pesisir Selatan,10.05795094134913,2029,96.90458992572367,Forecast,9.671716132206319,10.434983884424188,92.89869961578368,101.19658147051493
Kab. Pesisir Selatan,10.30726788718024,2030,96.34611996897061,Forecast,9.763663466736933,10.841590353768442,90.71515912999354,102.74284234864643
Kab. Pesisir Selatan,10.556584833011351,2031,95.78765001221755,Forecast,9.838795192573125,11.281055059957602,88.64512476161539,103.94129213974121
Kab. Pesisir Selatan,10.805901778842461,2032,95.2291800554645,Forecast,9.870058864120749,11.710352523637718,85.9260101590949,105.28295592559651
Kab. Pesisir Selatan,11.055901784799135,2033,94.6691800440354,Forecast,9.906307252334887,12.175380394785142,83.0626788540653,107.10242182357622
Kab. Pesisir Selatan,11.305218730630244,2034,94.11071008728234,Forecast,9.929633114777516,12.697875193120373,80.26963753407269,108.83107749088687
Kab. Pesisir Selatan,11.554535676461352,2035,93.5522401305293,Forecast,9.87596137204752,13.180299607888555,77.0496211251591,110.67575937298538
Kab. Sijunjung,7.09,2010,96.39,Actual,7.09,7.09,96.39,96.39
Kab. Sijunjung,7.1,2011,94.16,Actual,7.1,7.1,94.16,94.16
Kab. Sijunjung,7.2,2012,95.03,Actual,7.2,7.2,95.03,95.03
Kab. Sijunjung,7.3,2013,95.12,Actual,7.3,7.3,95.12,95.12
Kab. Sijunjung,7.32,2014,95.32,Actual,7.32,7.32,95.32,95.32
Kab. Sijunjung,7.33,2015,99.54,Actual,7.33,7.33,99.54,99.54
Kab. Sijunjung,7.5,2016,99.67,Actual,7.5,7.5,99.67,99.67
Kab. Sijunjung,7.72,2017,99.05,Actual,7.72,7.72,99.05,99.05
Kab. Sijunjung,7.77,2018,99.45,Actual,7.77,7.77,99.45,99.45
Kab. Sijunjung,8.1,2019,99.06,Actual,8.1,8.1,99.06,99.06
Kab. Sijunjung,8.11,2020,99.51,Actual,8.11,8.11,99.51,99.51
Kab. Sijunjung,8.12,2021,99.22,Actual,8.12,8.12,99.22,99.22
Kab. Sijunjung,8.3,2022,99.49,Actual,8.3,8.3,99.49,99.49
Kab. Sijunjung,8.57,2023,98.88,Actual,8.57,8.57,98.88,98.88
Kab. Sijunjung,8.62,2024,99.83,Actual,8.62,8.62,99.83,99.83
Kab. Sijunjung,8.66,2025,99.07,Actual,8.66,8.66,99.07,99.07
Kab. Sijunjung,8.699890687609185,2026,98.31207605971252,Forecast,8.611438801245933,8.789631756955078,97.15191158022049,99.51346439805347
Kab. Sijunjung,8.739781390808666,2027,97.55415256080366,Forecast,8.446291207548667,9.032660223811966,93.70256624061784,101.41772684295738
Kab. Sijunjung,8.779672094008147,2028,96.79622906189478,Forecast,8.203724518676088,9.332522877780628,89.33023255866703,104.44729500859401
Kab. Sijunjung,8.819672086805435,2029,96.03622906024917,Forecast,7.935853464770107,9.705081941982563,84.41335868407991,108.08506542397708
Kab. Sijunjung,8.859562790004915,2030,95.2783055613403,Forecast,7.603312713769194,10.102439407157819,78.90935822230037,111.6872532671587
Kab. Sijunjung,8.899453493204396,2031,94.52038206243144,Forecast,7.159005579526966,10.55063345511576,73.17188838422253,116.97377468638815
Kab. Sijunjung,8.939344196403876,2032,93.76245856352257,Forecast,6.706700203908576,11.091177849338672,67.35990633332074,121.42835979483155
Kab. Sijunjung,8.979344189201164,2033,93.00245856187695,Forecast,6.215285835352465,11.579874930321818,60.8517102127607,126.92350739553378
Kab. Sijunjung,9.019234892400645,2034,92.24453506296808,Forecast,5.668404926651631,12.185979145411201,54.16567073196267,132.49933511323604
Kab. Sijunjung,9.059125595600126,2035,91.48661156405922,Forecast,5.177148791343076,12.847550246930673,46.608734870550435,138.91865926245754
Kab. Solok,7.16,2010,96.99,Actual,7.16,7.16,96.99,96.99
Kab. Solok,7.3,2011,96.79,Actual,7.3,7.3,96.79,96.79
Kab. Solok,7.44,2012,97.12,Actual,7.44,7.44,97.12,97.12
Kab. Solok,7.53,2013,97.71,Actual,7.53,7.53,97.71,97.71
Kab. Solok,7.56,2014,97.72,Actual,7.56,7.56,97.72,97.72
Kab. Solok,7.57,2015,99.37,Actual,7.57,7.57,99.37,99.37
Kab. Solok,7.58,2016,99.71,Actual,7.58,7.58,99.71,99.71
Kab. Solok,7.6,2017,99.51,Actual,7.6,7.6,99.51,99.51
Kab. Solok,7.84,2018,99.72,Actual,7.84,7.84,99.72,99.72
Kab. Solok,7.85,2019,99.44,Actual,7.85,7.85,99.44,99.44
Kab. Solok,7.86,2020,99.3,Actual,7.86,7.86,99.3,99.3
Kab. Solok,7.87,2021,99.85,Actual,7.87,7.87,99.85,99.85
Kab. Solok,7.89,2022,100.0,Actual,7.89,7.89,100.0,100.0
Kab. Solok,7.9,2023,99.77,Actual,7.9,7.9,99.77,99.77
Kab. Solok,7.91,2024,99.97,Actual,7.91,7.91,99.97,99.97
Kab. Solok,8.25,2025,99.5,Actual,8.25,8.25,99.5,99.5
Kab. Solok,8.589070996725658,2026,99.03128436869866,Forecast,8.538861973247071,8.64001201911744,98.5804471198343,99.49548837764165
